frame,object_id,class,x,y,width,height,center_x,center_y,area
676,1387,person,808.55,384.33,134.57,246.56,808.55,384.33,33180.01
677,1387,person,795.08,380.04,138.83,248.35,795.08,380.04,34478.21
678,1387,person,783.8,378.71,143.19,249.43,783.8,378.71,35715.88
679,1387,person,776.88,381.47,149.46,254.41,776.88,381.47,38024.7
680,1387,person,767.29,383.11,155.81,258.2,767.29,383.11,40229.88
681,1387,person,755.22,383.92,160.05,260.3,755.22,383.92,41660.79
682,1387,person,750.89,384.18,163.13,260.9,750.89,384.18,42559.86
683,1387,person,749.32,384.18,165.69,260.8,749.32,384.18,43211.16
684,1387,person,722.48,380.43,162.67,258.49,722.48,380.43,42049.92
685,1387,person,711.34,376.79,159.79,256.11,711.34,376.79,40924.9
686,1387,person,705.98,373.89,158.18,255.22,705.98,373.89,40369.0
687,1387,person,699.25,370.68,157.13,255.15,699.25,370.68,40090.95
688,1387,person,691.93,366.49,157.55,257.54,691.93,366.49,40576.16
689,1387,person,686.82,363.46,157.84,257.41,686.82,363.46,40628.38
690,1387,person,682.51,362.04,159.33,258.37,682.51,362.04,41164.75
691,1387,person,681.41,360.15,160.37,257.92,681.41,360.15,41362.11
692,1387,person,682.45,359.33,161.52,258.36,682.45,359.33,41728.87
693,1387,person,684.48,359.18,163.02,259.86,684.48,359.18,42360.93
694,1387,person,689.07,358.93,162.62,259.79,689.07,358.93,42246.11
695,1387,person,690.96,358.82,162.22,259.67,690.96,358.82,42124.14
696,1387,person,693.53,357.68,161.03,260.4,693.53,357.68,41932.52
697,1387,person,693.78,355.89,158.41,259.22,693.78,355.89,41064.46
697,1484,person,1018.74,214.37,45.25,84.7,1018.74,214.37,3832.59
698,1387,person,695.14,356.66,158.05,261.38,695.14,356.66,41311.18
698,1484,person,1017.79,214.4,45.61,85.27,1017.79,214.4,3888.96
699,1387,person,696.96,356.79,157.04,262.27,696.96,356.79,41186.0
699,1484,person,1015.07,214.48,45.92,85.53,1015.07,214.48,3927.38
700,1387,person,697.47,354.78,154.31,259.54,697.47,354.78,40050.55
700,1484,person,1012.16,214.11,45.75,84.83,1012.16,214.11,3880.57
701,1387,person,697.3,350.57,151.26,255.46,697.3,350.57,38639.68
701,1484,person,1009.48,213.69,45.76,84.11,1009.48,213.69,3848.49
702,1387,person,698.44,346.39,148.22,251.04,698.44,346.39,37209.88
702,1484,person,1008.96,212.39,46.12,84.17,1008.96,212.39,3881.86
